timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785925821085,4207122.000000,4144702.000000,4207181.000000,2.507640,2.470435,2.507675,2.495250
1785925821595,4207187.000000,4144794.000000,4207134.000000,2.507679,2.470490,2.507648,2.495272
1785925822098,4206982.000000,4144776.000000,4207053.000000,2.507557,2.470479,2.507599,2.495212
1785925822602,4207058.000000,4144712.000000,4207024.000000,2.507602,2.470441,2.507582,2.495209
1785925823106,4207101.000000,4144941.000000,4207121.000000,2.507628,2.470577,2.507640,2.495281
1785925823615,4206983.000000,4144981.000000,4207010.000000,2.507557,2.470601,2.507574,2.495244
1785925824119,4206859.000000,4144670.000000,4207016.000000,2.507483,2.470416,2.507577,2.495159
1785925824623,4207024.000000,4144637.000000,4207055.000000,2.507582,2.470396,2.507600,2.495193
1785925825127,4206883.000000,4144608.000000,4206916.000000,2.507498,2.470379,2.507518,2.495131
1785925825636,4206962.000000,4144524.000000,4207000.000000,2.507545,2.470329,2.507568,2.495147
1785925826140,4207020.000000,4144439.000000,4206975.000000,2.507580,2.470278,2.507553,2.495137
1785925826644,4206928.000000,4144430.000000,4206974.000000,2.507525,2.470273,2.507552,2.495116
1785925827148,4206918.000000,4144339.000000,4206987.000000,2.507519,2.470219,2.507560,2.495099
1785925827657,4207067.000000,4144308.000000,4207015.000000,2.507607,2.470200,2.507576,2.495128
1785925828161,4207001.000000,4144331.000000,4207056.000000,2.507568,2.470214,2.507601,2.495128
1785925828665,4206895.000000,4144360.000000,4206951.000000,2.507505,2.470231,2.507538,2.495092
1785925829169,4206984.000000,4144298.000000,4206978.000000,2.507558,2.470194,2.507555,2.495102
1785925829678,4206857.000000,4144181.000000,4207035.000000,2.507482,2.470124,2.507588,2.495065
1785925830182,4207005.000000,4144226.000000,4207037.000000,2.507571,2.470151,2.507590,2.495104
1785925830686,4206814.000000,4144155.000000,4206859.000000,2.507457,2.470109,2.507483,2.495016
1785925831190,4206935.000000,4144200.000000,4206962.000000,2.507529,2.470136,2.507545,2.495070
1785925831699,4206858.000000,4144080.000000,4206895.000000,2.507483,2.470064,2.507505,2.495018
1785925832203,4206828.000000,4144161.000000,4206784.000000,2.507465,2.470113,2.507439,2.495006
1785925832707,4206915.000000,4143676.000000,4206929.000000,2.507517,2.469824,2.507525,2.494955
1785925833211,4206840.000000,4144181.000000,4206958.000000,2.507472,2.470124,2.507543,2.495046
1785925833720,4206816.000000,4144085.000000,4206813.000000,2.507458,2.470067,2.507456,2.494994
1785925834224,4206892.000000,4143704.000000,4206883.000000,2.507503,2.469840,2.507498,2.494947
1785925834728,4206935.000000,4143768.000000,4206861.000000,2.507529,2.469878,2.507485,2.494964
1785925835232,4207010.000000,4143268.000000,4206968.000000,2.507574,2.469580,2.507549,2.494901
1785925835741,4206969.000000,4143100.000000,4206929.000000,2.507549,2.469480,2.507525,2.494851
1785925836245,4206839.000000,4142794.000000,4206977.000000,2.507472,2.469298,2.507554,2.494775
1785925836749,4206932.000000,4143070.000000,4206928.000000,2.507527,2.469462,2.507525,2.494838
1785925837253,4206972.000000,4142514.000000,4207026.000000,2.507551,2.469131,2.507583,2.494755
1785925837762,4206824.000000,4142529.000000,4206913.000000,2.507463,2.469140,2.507516,2.494706
1785925838266,4206929.000000,4142521.000000,4206882.000000,2.507525,2.469135,2.507497,2.494719
1785925838770,4206930.000000,4142423.000000,4206988.000000,2.507526,2.469077,2.507560,2.494721
1785925839274,4207000.000000,4142229.000000,4206942.000000,2.507568,2.468961,2.507533,2.494687
1785925839783,4207012.000000,4142219.000000,4207012.000000,2.507575,2.468955,2.507575,2.494702
1785925840288,4207029.000000,4142486.000000,4206974.000000,2.507585,2.469114,2.507552,2.494750
1785925840791,4206974.000000,4142201.000000,4207027.000000,2.507552,2.468944,2.507584,2.494694
1785925841295,4207026.000000,4142239.000000,4207084.000000,2.507583,2.468967,2.507618,2.494723
1785925841804,4206939.000000,4142409.000000,4206915.000000,2.507531,2.469068,2.507517,2.494705
1785925842308,4206920.000000,4142542.000000,4206991.000000,2.507520,2.469148,2.507562,2.494743
1785925842812,4207079.000000,4142235.000000,4206982.000000,2.507615,2.468965,2.507557,2.494712
1785925843316,4206940.000000,4142444.000000,4206999.000000,2.507532,2.469089,2.507567,2.494729
1785925843825,4207066.000000,4142571.000000,4207046.000000,2.507607,2.469165,2.507595,2.494789
1785925844329,4206949.000000,4142368.000000,4207011.000000,2.507537,2.469044,2.507574,2.494718
1785925844833,4206966.000000,4142362.000000,4206992.000000,2.507547,2.469040,2.507563,2.494717
1785925845337,4206805.000000,4142643.000000,4206906.000000,2.507451,2.469208,2.507512,2.494724
1785925845846,4206839.000000,4142521.000000,4206918.000000,2.507472,2.469135,2.507519,2.494708
1785925846350,4206915.000000,4142268.000000,4206968.000000,2.507517,2.468984,2.507549,2.494683
1785925846854,4206915.000000,4142342.000000,4206974.000000,2.507517,2.469028,2.507552,2.494699
1785925847358,4206870.000000,4142368.000000,4206904.000000,2.507490,2.469044,2.507510,2.494681
1785925847867,4206884.000000,4142145.000000,4206945.000000,2.507499,2.468911,2.507535,2.494648
1785925848371,4206894.000000,4141993.000000,4206956.000000,2.507504,2.468820,2.507541,2.494622
1785925848875,4207024.000000,4142232.000000,4206911.000000,2.507582,2.468963,2.507514,2.494686
1785925849379,4206845.000000,4142005.000000,4206844.000000,2.507475,2.468827,2.507475,2.494592
1785925849888,4206884.000000,4141940.000000,4206867.000000,2.507499,2.468789,2.507488,2.494592
1785925850392,4206963.000000,4142097.000000,4207015.000000,2.507545,2.468882,2.507576,2.494668
1785925850896,4206853.000000,4142099.000000,4206895.000000,2.507480,2.468884,2.507505,2.494623
1785925851400,4206950.000000,4141964.000000,4206919.000000,2.507538,2.468803,2.507519,2.494620
1785925851909,4207011.000000,4141919.000000,4206953.000000,2.507574,2.468776,2.507540,2.494630
1785925852413,4206932.000000,4142189.000000,4206894.000000,2.507527,2.468937,2.507504,2.494656
1785925852917,4206918.000000,4141960.000000,4206974.000000,2.507519,2.468801,2.507552,2.494624
1785925853421,4206961.000000,4141901.000000,4206971.000000,2.507544,2.468765,2.507550,2.494620
1785925853930,4206732.000000,4141965.000000,4206799.000000,2.507408,2.468804,2.507448,2.494553
1785925854434,4206798.000000,4142082.000000,4206790.000000,2.507447,2.468874,2.507442,2.494588
1785925854938,4206887.000000,4141668.000000,4206847.000000,2.507500,2.468627,2.507476,2.494534
1785925855442,4206848.000000,4141881.000000,4206867.000000,2.507477,2.468754,2.507488,2.494573
1785925855951,4206847.000000,4141951.000000,4206977.000000,2.507476,2.468795,2.507554,2.494609
1785925856455,4206957.000000,4141793.000000,4206957.000000,2.507542,2.468701,2.507542,2.494595
1785925856959,4206907.000000,4141698.000000,4206876.000000,2.507512,2.468645,2.507494,2.494550
1785925857463,4206932.000000,4141837.000000,4206757.000000,2.507527,2.468727,2.507423,2.494559
1785925857972,4206806.000000,4141811.000000,4206840.000000,2.507452,2.468712,2.507472,2.494545
1785925858476,4206818.000000,4141603.000000,4206944.000000,2.507459,2.468588,2.507534,2.494527
1785925858980,4206812.000000,4142180.000000,4206916.000000,2.507456,2.468932,2.507518,2.494635
1785925859484,4206862.000000,4142164.000000,4206818.000000,2.507485,2.468922,2.507459,2.494622
1785925859993,4206856.000000,4142029.000000,4206812.000000,2.507482,2.468842,2.507456,2.494593
1785925860497,4206882.000000,4141809.000000,4206891.000000,2.507497,2.468711,2.507503,2.494570
1785925861001,4206898.000000,4141900.000000,4206895.000000,2.507507,2.468765,2.507505,2.494592
1785925861505,4207038.000000,4142035.000000,4206834.000000,2.507590,2.468845,2.507469,2.494635
1785925862014,4206866.000000,4141858.000000,4206889.000000,2.507488,2.468740,2.507501,2.494576
1785925862518,4207006.000000,4141748.000000,4206964.000000,2.507571,2.468674,2.507546,2.494597
1785925863022,4206876.000000,4141884.000000,4206859.000000,2.507494,2.468755,2.507483,2.494578
1785925863526,4206884.000000,4141765.000000,4206845.000000,2.507499,2.468684,2.507475,2.494553
1785925864035,4206921.000000,4141689.000000,4206970.000000,2.507520,2.468639,2.507550,2.494570
1785925864539,4206876.000000,4141660.000000,4206950.000000,2.507494,2.468622,2.507538,2.494551
1785925865043,4206927.000000,4141821.000000,4207004.000000,2.507524,2.468718,2.507570,2.494604
1785925865547,4206859.000000,4142028.000000,4206987.000000,2.507483,2.468841,2.507560,2.494628
1785925866056,4206952.000000,4142194.000000,4206904.000000,2.507539,2.468940,2.507510,2.494663
1785925866560,4207095.000000,4142247.000000,4206993.000000,2.507624,2.468972,2.507563,2.494720
1785925867064,4206993.000000,4142038.000000,4206979.000000,2.507563,2.468847,2.507555,2.494655
1785925867568,4206903.000000,4141688.000000,4206982.000000,2.507510,2.468639,2.507557,2.494569
1785925868077,4206927.000000,4141837.000000,4206930.000000,2.507524,2.468727,2.507526,2.494592
1785925868581,4207007.000000,4142007.000000,4206911.000000,2.507572,2.468829,2.507514,2.494638
1785925869085,4206937.000000,4141613.000000,4207015.000000,2.507530,2.468594,2.507576,2.494567
1785925869589,4207055.000000,4141496.000000,4206922.000000,2.507600,2.468524,2.507521,2.494549
1785925870098,4206916.000000,4141435.000000,4206868.000000,2.507518,2.468488,2.507489,2.494498
1785925870602,4206946.000000,4141485.000000,4207056.000000,2.507535,2.468518,2.507601,2.494551
1785925871106,4206938.000000,4141124.000000,4206914.000000,2.507531,2.468302,2.507516,2.494450
1785925871610,4206920.000000,4141302.000000,4206974.000000,2.507520,2.468409,2.507552,2.494493
1785925872119,4206828.000000,4141390.000000,4206923.000000,2.507465,2.468461,2.507522,2.494483
1785925872623,4206955.000000,4141576.000000,4206895.000000,2.507541,2.468572,2.507505,2.494539
