timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785926153540,3319137.000000,3277761.000000,3784456.000000,1.978360,1.953698,2.255712,2.062590
1785926154044,3319407.000000,3276822.000000,3781998.000000,1.978521,1.953138,2.254247,2.061969
1785926154548,3316988.000000,3276624.000000,3781319.000000,1.977079,1.953020,2.253842,2.061314
1785926155057,3315734.000000,3276369.000000,3780868.000000,1.976332,1.952868,2.253573,2.060924
1785926155562,3315278.000000,3277059.000000,3781160.000000,1.976060,1.953279,2.253747,2.061029
1785926156065,3314501.000000,3276529.000000,3779023.000000,1.975597,1.952964,2.252473,2.060344
1785926156569,3314623.000000,3276164.000000,3779101.000000,1.975669,1.952746,2.252520,2.060312
1785926157078,3314149.000000,3275906.000000,3778732.000000,1.975387,1.952592,2.252300,2.060093
1785926157582,3313142.000000,3275482.000000,3777331.000000,1.974787,1.952340,2.251465,2.059530
1785926158086,3313542.000000,3275462.000000,3776917.000000,1.975025,1.952328,2.251218,2.059524
1785926158590,3312496.000000,3275078.000000,3777240.000000,1.974402,1.952099,2.251411,2.059304
1785926159099,3312038.000000,3274931.000000,3776527.000000,1.974129,1.952011,2.250986,2.059042
1785926159603,3312710.000000,3275099.000000,3776203.000000,1.974529,1.952111,2.250793,2.059144
1785926160107,3311984.000000,3274599.000000,3776355.000000,1.974096,1.951813,2.250883,2.058931
1785926160611,3309575.000000,3273921.000000,3775000.000000,1.972661,1.951409,2.250076,2.058048
1785926161120,3310409.000000,3274162.000000,3775016.000000,1.973158,1.951553,2.250085,2.058265
1785926161624,3309561.000000,3273720.000000,3774963.000000,1.972652,1.951289,2.250053,2.057998
1785926162128,3309344.000000,3273567.000000,3774723.000000,1.972523,1.951198,2.249910,2.057877
1785926162632,3309316.000000,3273490.000000,3773785.000000,1.972506,1.951152,2.249351,2.057670
1785926163141,3309281.000000,3273542.000000,3773483.000000,1.972485,1.951183,2.249171,2.057613
1785926163645,3308707.000000,3272902.000000,3772889.000000,1.972143,1.950802,2.248817,2.057254
1785926164149,3308737.000000,3272561.000000,3771591.000000,1.972161,1.950598,2.248044,2.056934
1785926164654,3308574.000000,3272902.000000,3771681.000000,1.972064,1.950802,2.248097,2.056988
1785926165162,3308462.000000,3273261.000000,3772659.000000,1.971997,1.951016,2.248680,2.057231
1785926165666,3308153.000000,3272078.000000,3770724.000000,1.971813,1.950311,2.247527,2.056550
1785926166171,3306759.000000,3272265.000000,3769547.000000,1.970982,1.950422,2.246825,2.056076
1785926166674,3306298.000000,3271957.000000,3769707.000000,1.970707,1.950238,2.246921,2.055955
1785926167183,3305483.000000,3271875.000000,3769538.000000,1.970222,1.950190,2.246820,2.055744
1785926167687,3305167.000000,3271730.000000,3768066.000000,1.970033,1.950103,2.245943,2.055360
1785926168191,3305142.000000,3271966.000000,3768680.000000,1.970018,1.950244,2.246309,2.055524
1785926168695,3305592.000000,3271250.000000,3767665.000000,1.970286,1.949817,2.245703,2.055269
1785926169204,3303617.000000,3271362.000000,3767269.000000,1.969109,1.949884,2.245467,2.054820
1785926169708,3304211.000000,3271635.000000,3767547.000000,1.969463,1.950047,2.245633,2.055048
1785926170213,3303469.000000,3271249.000000,3767549.000000,1.969021,1.949816,2.245634,2.054824
1785926170716,3302594.000000,3271142.000000,3766440.000000,1.968500,1.949753,2.244973,2.054409
1785926171225,3302459.000000,3271089.000000,3766219.000000,1.968419,1.949721,2.244842,2.054327
1785926171729,3302416.000000,3270945.000000,3766722.000000,1.968393,1.949635,2.245142,2.054390
1785926172233,3301384.000000,3270607.000000,3766087.000000,1.967778,1.949434,2.244763,2.053992
1785926172737,3303516.000000,3271029.000000,3766336.000000,1.969049,1.949685,2.244911,2.054549
1785926173246,3300704.000000,3270762.000000,3766144.000000,1.967373,1.949526,2.244797,2.053899
1785926173751,3299578.000000,3270325.000000,3765672.000000,1.966702,1.949266,2.244516,2.053494
1785926174254,3299692.000000,3270420.000000,3765319.000000,1.966770,1.949322,2.244305,2.053466
1785926174758,3299818.000000,3270601.000000,3765213.000000,1.966845,1.949430,2.244242,2.053506
