timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785926389492,3028587.000000,3003945.000000,3159381.000000,1.805179,1.790491,1.883138,1.826269
1785926389996,3029160.000000,3000507.000000,3157833.000000,1.805520,1.788442,1.882215,1.825392
1785926390500,3028252.000000,2999067.000000,3156842.000000,1.804979,1.787583,1.881625,1.824729
1785926391004,3028261.000000,2995879.000000,3155718.000000,1.804984,1.785683,1.880955,1.823874
1785926391513,3026079.000000,2994932.000000,3154555.000000,1.803684,1.785119,1.880261,1.823021
1785926392017,3026465.000000,2995998.000000,3154167.000000,1.803914,1.785754,1.880030,1.823233
1785926392521,3026988.000000,2995749.000000,3153893.000000,1.804226,1.785606,1.879867,1.823233
1785926393025,3026018.000000,2993187.000000,3152480.000000,1.803647,1.784079,1.879025,1.822250
1785926393534,3025576.000000,2993040.000000,3151001.000000,1.803384,1.783991,1.878143,1.821839
1785926394038,3024380.000000,2992339.000000,3150232.000000,1.802671,1.783573,1.877685,1.821310
1785926394542,3026028.000000,2991942.000000,3148957.000000,1.803653,1.783337,1.876925,1.821305
1785926395046,3024997.000000,2992468.000000,3148111.000000,1.803039,1.783650,1.876420,1.821036
1785926395555,3023768.000000,2991576.000000,3147439.000000,1.802306,1.783118,1.876020,1.820482
1785926396059,3023228.000000,2989502.000000,3146288.000000,1.801984,1.781882,1.875334,1.819734
1785926396563,3024076.000000,2990198.000000,3146111.000000,1.802490,1.782297,1.875228,1.820005
1785926397067,3023568.000000,2989459.000000,3144846.000000,1.802187,1.781857,1.874474,1.819506
1785926397576,3022440.000000,2989000.000000,3143840.000000,1.801515,1.781583,1.873875,1.818991
1785926398080,3023432.000000,2990015.000000,3143306.000000,1.802106,1.782188,1.873556,1.819283
1785926398584,3021618.000000,2988274.000000,3142336.000000,1.801025,1.781150,1.872978,1.818385
1785926399088,3021203.000000,2988496.000000,3141663.000000,1.800777,1.781283,1.872577,1.818212
1785926399597,3021407.000000,2988421.000000,3141446.000000,1.800899,1.781238,1.872448,1.818195
