timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785926484982,2911735.000000,2707056.000000,2704694.000000,1.735529,1.613531,1.612123,1.653728
1785926485487,2911670.000000,2706901.000000,2704299.000000,1.735491,1.613439,1.611888,1.653606
1785926485991,2909169.000000,2706423.000000,2703404.000000,1.734000,1.613154,1.611354,1.652836
1785926486500,2909528.000000,2706296.000000,2702810.000000,1.734214,1.613078,1.611000,1.652764
1785926487004,2909420.000000,2705418.000000,2702599.000000,1.734150,1.612555,1.610875,1.652526
1785926487508,2908197.000000,2704981.000000,2701891.000000,1.733421,1.612294,1.610453,1.652056
1785926488012,2909699.000000,2704599.000000,2701168.000000,1.734316,1.612067,1.610022,1.652135
1785926488521,2908879.000000,2703554.000000,2699953.000000,1.733827,1.611444,1.609298,1.651523
1785926489025,2906844.000000,2702614.000000,2698500.000000,1.732614,1.610884,1.608431,1.650643
1785926489529,2908292.000000,2702454.000000,2697880.000000,1.733477,1.610788,1.608062,1.650776
1785926490033,2907707.000000,2701937.000000,2697691.000000,1.733129,1.610480,1.607949,1.650519
1785926490541,2909984.000000,2699911.000000,2696612.000000,1.734486,1.609272,1.607306,1.650355
1785926491045,2908875.000000,2698983.000000,2695510.000000,1.733825,1.608719,1.606649,1.649731
1785926491550,2909691.000000,2698452.000000,2693970.000000,1.734311,1.608403,1.605731,1.649482
1785926492053,2906270.000000,2697860.000000,2689115.000000,1.732272,1.608050,1.602838,1.647720
1785926492563,2908249.000000,2697781.000000,2688190.000000,1.733452,1.608003,1.602286,1.647914
1785926493066,2906745.000000,2697517.000000,2687838.000000,1.732555,1.607846,1.602076,1.647492
1785926493570,2906165.000000,2696928.000000,2686740.000000,1.732209,1.607494,1.601422,1.647042
1785926494074,2905900.000000,2696432.000000,2686213.000000,1.732051,1.607199,1.601108,1.646786
1785926494583,2904905.000000,2695951.000000,2685814.000000,1.731458,1.606912,1.600870,1.646413
1785926495087,2903754.000000,2695300.000000,2685600.000000,1.730772,1.606524,1.600742,1.646013
1785926495591,2904812.000000,2694824.000000,2684947.000000,1.731403,1.606240,1.600353,1.645999
1785926496096,2902889.000000,2694440.000000,2683558.000000,1.730257,1.606012,1.599525,1.645265
1785926496605,2902160.000000,2693935.000000,2683072.000000,1.729822,1.605711,1.599236,1.644923
1785926497109,2902800.000000,2693646.000000,2683016.000000,1.730204,1.605538,1.599202,1.644981
1785926497613,2899882.000000,2693325.000000,2682290.000000,1.728464,1.605347,1.598770,1.644194
1785926498117,2902797.000000,2693182.000000,2682123.000000,1.730202,1.605262,1.598670,1.644711
1785926498625,2903466.000000,2692268.000000,2681859.000000,1.730601,1.604717,1.598513,1.644610
1785926499129,2898809.000000,2690550.000000,2680862.000000,1.727825,1.603693,1.597918,1.643145
1785926499633,2899018.000000,2690176.000000,2680686.000000,1.727950,1.603470,1.597813,1.643078
1785926500137,2899797.000000,2689554.000000,2680451.000000,1.728414,1.603099,1.597673,1.643062
1785926500646,2898480.000000,2689310.000000,2680128.000000,1.727629,1.602954,1.597481,1.642688
1785926501150,2898553.000000,2688957.000000,2679896.000000,1.727672,1.602743,1.597343,1.642586
1785926501654,2897976.000000,2688569.000000,2679606.000000,1.727328,1.602512,1.597170,1.642337
1785926502158,2896005.000000,2688130.000000,2679194.000000,1.726154,1.602250,1.596924,1.641776
1785926502667,2894799.000000,2687992.000000,2678858.000000,1.725435,1.602168,1.596724,1.641442
1785926503171,2896536.000000,2687484.000000,2678736.000000,1.726470,1.601865,1.596651,1.641662
1785926503675,2889726.000000,2687116.000000,2678209.000000,1.722411,1.601646,1.596337,1.640131
1785926504179,2895953.000000,2686850.000000,2678021.000000,1.726123,1.601488,1.596225,1.641278
