Total_Load,Time_Start,Time_End,Med_S1_Code,Med_S2_Code,Med_S3_Code,Total_Conductance
45_0g,1785925799867.00,1785925864539.00,4206977,4144158,4206990,1.218029e-07
95_0g,1785925924739.54,1785925965737.30,4126806,3989105,4206925,6.783560e-07
145_0g,1785926076996.50,1785926131560.50,3524662,3477810,4183458,3.985982e-06
195_0g,1785926160714.30,1785926218108.70,3291449,3265352,3760032,6.742872e-06
245_0g,1785926265338.49,1785926309409.60,3146900,3129257,3663032,8.182238e-06
325_0g,1785926440830.63,1785926453264.21,2999064,2972299,3020702,1.198188e-05
425_0g,1785926492358.40,1785926551369.60,2877874,2675565,2652155,1.606534e-05
