timestamp,A0,A4,A2,Channel 4,Channel 5,Channel 6,Channel 7
1785926070176,3577936.000000,3492757.000000,4192815.000000,2.132616,2.081846,2.499113,2.237858
1785926070680,3541705.000000,3490860.000000,4194512.000000,2.111021,2.080715,2.500124,2.230620
1785926071184,3580659.000000,3491816.000000,4190846.000000,2.134239,2.081285,2.497939,2.237821
1785926071688,3568145.000000,3491165.000000,4190318.000000,2.126780,2.080897,2.497624,2.235101
1785926072197,3565661.000000,3491389.000000,4190915.000000,2.125300,2.081030,2.497980,2.234770
1785926072701,3571382.000000,3490832.000000,4190200.000000,2.128710,2.080698,2.497554,2.235654
1785926073205,3563349.000000,3489760.000000,4189612.000000,2.123922,2.080059,2.497204,2.233728
1785926073709,3551522.000000,3488696.000000,4189272.000000,2.116872,2.079425,2.497001,2.231099
1785926074218,3557314.000000,3489927.000000,4190778.000000,2.120325,2.080159,2.497899,2.232794
1785926074722,3556043.000000,3488970.000000,4189290.000000,2.119567,2.079588,2.497012,2.232056
1785926075226,3548182.000000,3488134.000000,4188825.000000,2.114882,2.079090,2.496734,2.230235
1785926075730,3547810.000000,3488089.000000,4189038.000000,2.114660,2.079063,2.496861,2.230195
1785926076239,3548241.000000,3489033.000000,4189860.000000,2.114917,2.079626,2.497351,2.230631
1785926076743,3546942.000000,3488172.000000,4188743.000000,2.114142,2.079113,2.496686,2.229980
1785926077247,3545146.000000,3487760.000000,4188877.000000,2.113072,2.078867,2.496765,2.229568
1785926077751,3545237.000000,3488447.000000,4189729.000000,2.113126,2.079277,2.497273,2.229892
1785926078260,3541024.000000,3486199.000000,4188552.000000,2.110615,2.077937,2.496572,2.228374
1785926078764,3539701.000000,3485794.000000,4189852.000000,2.109826,2.077695,2.497347,2.228290
1785926079268,3534846.000000,3484616.000000,4188461.000000,2.106933,2.076993,2.496517,2.226814
1785926079772,3541170.000000,3486329.000000,4189178.000000,2.110702,2.078014,2.496945,2.228554
1785926080281,3538401.000000,3485275.000000,4188574.000000,2.109051,2.077386,2.496585,2.227674
1785926080785,3531704.000000,3484198.000000,4190116.000000,2.105060,2.076744,2.497504,2.226436
1785926081289,3540040.000000,3485001.000000,4189092.000000,2.110029,2.077223,2.496894,2.228048
1785926081793,3547977.000000,3486623.000000,4188458.000000,2.114759,2.078189,2.496516,2.229821
1785926082302,3540598.000000,3485306.000000,4187502.000000,2.110361,2.077404,2.495946,2.227904
1785926082806,3533463.000000,3483000.000000,4187242.000000,2.106108,2.076030,2.495791,2.225976
1785926083310,3533989.000000,3482652.000000,4187178.000000,2.106422,2.075823,2.495753,2.225999
1785926083814,3535388.000000,3483489.000000,4186934.000000,2.107256,2.076321,2.495607,2.226395
1785926084323,3533350.000000,3482645.000000,4186700.000000,2.106041,2.075818,2.495468,2.225776
1785926084827,3531175.000000,3481057.000000,4186707.000000,2.104744,2.074872,2.495472,2.225029
1785926085331,3531954.000000,3481349.000000,4186708.000000,2.105209,2.075046,2.495473,2.225243
1785926085835,3532239.000000,3480865.000000,4186439.000000,2.105379,2.074757,2.495312,2.225149
1785926086344,3530254.000000,3480270.000000,4186284.000000,2.104196,2.074403,2.495220,2.224606
1785926086848,3529815.000000,3480039.000000,4186545.000000,2.103934,2.074265,2.495375,2.224525
1785926087352,3530747.000000,3480355.000000,4186259.000000,2.104489,2.074453,2.495205,2.224716
1785926087856,3528622.000000,3479594.000000,4186200.000000,2.103223,2.074000,2.495170,2.224131
1785926088365,3528720.000000,3479460.000000,4186078.000000,2.103281,2.073920,2.495097,2.224099
1785926088869,3530335.000000,3480079.000000,4186316.000000,2.104244,2.074289,2.495239,2.224591
1785926089373,3529566.000000,3479888.000000,4186027.000000,2.103786,2.074175,2.495067,2.224342
1785926089877,3527927.000000,3479342.000000,4185981.000000,2.102808,2.073850,2.495039,2.223899
1785926090386,3527507.000000,3479192.000000,4185846.000000,2.102558,2.073760,2.494959,2.223759
1785926090890,3529080.000000,3479369.000000,4185972.000000,2.103496,2.073866,2.495034,2.224132
1785926091394,3527818.000000,3479067.000000,4185811.000000,2.102744,2.073686,2.494938,2.223789
1785926091898,3526835.000000,3478950.000000,4185479.000000,2.102158,2.073616,2.494740,2.223505
1785926092407,3526648.000000,3478882.000000,4185190.000000,2.102046,2.073575,2.494568,2.223397
1785926092911,3528856.000000,3479202.000000,4185589.000000,2.103362,2.073766,2.494806,2.223978
1785926093415,3526149.000000,3478351.000000,4185239.000000,2.101749,2.073259,2.494597,2.223202
