timestamp,voltage,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1785667919120,99503.000000,98214.000000,86591.000000,0.059308,0.058540,0.051612,0.056487
1785667919623,99466.000000,98032.000000,86311.000000,0.059286,0.058432,0.051445,0.056388
1785667920127,99304.000000,97806.000000,86168.000000,0.059190,0.058297,0.051360,0.056282
1785667920631,99256.000000,98019.000000,86285.000000,0.059161,0.058424,0.051430,0.056338
1785667921140,99486.000000,98153.000000,86442.000000,0.059298,0.058504,0.051523,0.056442
1785667921644,99347.000000,98001.000000,86214.000000,0.059215,0.058413,0.051388,0.056339
1785667922148,99239.000000,97836.000000,86137.000000,0.059151,0.058315,0.051342,0.056269
1785667922652,99252.000000,97962.000000,86254.000000,0.059159,0.058390,0.051411,0.056320
1785667923161,99524.000000,98018.000000,86330.000000,0.059321,0.058423,0.051457,0.056400
1785667923665,99105.000000,97963.000000,86113.000000,0.059071,0.058391,0.051327,0.056263
1785667924169,99257.000000,97935.000000,86263.000000,0.059162,0.058374,0.051417,0.056317
1785667924673,99373.000000,97959.000000,86347.000000,0.059231,0.058388,0.051467,0.056362
1785667925182,99376.000000,98068.000000,86284.000000,0.059233,0.058453,0.051429,0.056372
1785667925686,99509.000000,97974.000000,86347.000000,0.059312,0.058397,0.051467,0.056392
1785667926190,99092.000000,97812.000000,86166.000000,0.059063,0.058300,0.051359,0.056241
1785667926694,99098.000000,97977.000000,86299.000000,0.059067,0.058399,0.051438,0.056301
1785667927203,99282.000000,97980.000000,86241.000000,0.059177,0.058401,0.051404,0.056327
1785667927707,99162.000000,97774.000000,86063.000000,0.059105,0.058278,0.051298,0.056227
1785667928211,99019.000000,97777.000000,86144.000000,0.059020,0.058280,0.051346,0.056215
1785667928715,99096.000000,97977.000000,86311.000000,0.059066,0.058399,0.051445,0.056303
1785667929224,99153.000000,97885.000000,86184.000000,0.059100,0.058344,0.051370,0.056271
1785667929728,99024.000000,97715.000000,86038.000000,0.059023,0.058243,0.051283,0.056183
1785667930232,98923.000000,97835.000000,86146.000000,0.058963,0.058314,0.051347,0.056208
1785667930736,99038.000000,98045.000000,86291.000000,0.059031,0.058439,0.051433,0.056301
1785667931245,99050.000000,97852.000000,86109.000000,0.059038,0.058324,0.051325,0.056229
1785667931749,98913.000000,97711.000000,86018.000000,0.058957,0.058240,0.051271,0.056156
1785667932253,98917.000000,97859.000000,86160.000000,0.058959,0.058329,0.051355,0.056214
1785667932757,99030.000000,98077.000000,86289.000000,0.059026,0.058458,0.051432,0.056306
1785667933266,99155.000000,97825.000000,86152.000000,0.059101,0.058308,0.051351,0.056253
1785667933770,98898.000000,97661.000000,86039.000000,0.058948,0.058210,0.051283,0.056147
1785667934274,98946.000000,97819.000000,86166.000000,0.058976,0.058305,0.051359,0.056213
1785667934778,99039.000000,97980.000000,86291.000000,0.059032,0.058401,0.051433,0.056289
1785667935287,98916.000000,97739.000000,86046.000000,0.058959,0.058257,0.051287,0.056168
1785667935791,98798.000000,97678.000000,86038.000000,0.058888,0.058221,0.051283,0.056130
1785667936295,98903.000000,97807.000000,86159.000000,0.058951,0.058298,0.051355,0.056201
1785667936799,98893.000000,97914.000000,86284.000000,0.058945,0.058361,0.051429,0.056245
1785667937308,98689.000000,97668.000000,86018.000000,0.058823,0.058215,0.051271,0.056103
1785667937812,98543.000000,97631.000000,86062.000000,0.058736,0.058193,0.051297,0.056075
1785667938316,98712.000000,97810.000000,86189.000000,0.058837,0.058299,0.051373,0.056170
1785667938820,98948.000000,97947.000000,86256.000000,0.058978,0.058381,0.051413,0.056257
1785667939329,98663.000000,97668.000000,85980.000000,0.058808,0.058215,0.051248,0.056090
1785667939833,98584.000000,97659.000000,86050.000000,0.058761,0.058209,0.051290,0.056087
1785667940337,98636.000000,97884.000000,86216.000000,0.058792,0.058343,0.051389,0.056175
1785667940841,98781.000000,98019.000000,86236.000000,0.058878,0.058424,0.051401,0.056234
1785667941350,98570.000000,97639.000000,85973.000000,0.058752,0.058197,0.051244,0.056065
1785667941854,98522.000000,97736.000000,86050.000000,0.058724,0.058255,0.051290,0.056090
1785667942358,98662.000000,97919.000000,86226.000000,0.058807,0.058364,0.051395,0.056189
1785667942862,98713.000000,97973.000000,86234.000000,0.058838,0.058396,0.051399,0.056211
1785667943371,98542.000000,97607.000000,85950.000000,0.058736,0.058178,0.051230,0.056048
1785667943875,98531.000000,97739.000000,86063.000000,0.058729,0.058257,0.051298,0.056095
1785667944379,98638.000000,97893.000000,86211.000000,0.058793,0.058349,0.051386,0.056176
1785667944883,98699.000000,97947.000000,86178.000000,0.058829,0.058381,0.051366,0.056192
1785667945392,98499.000000,97670.000000,85939.000000,0.058710,0.058216,0.051224,0.056050
1785667945896,98528.000000,97800.000000,86075.000000,0.058727,0.058293,0.051305,0.056108
1785667946400,98671.000000,97924.000000,86166.000000,0.058813,0.058367,0.051359,0.056180
1785667946904,98688.000000,97860.000000,86141.000000,0.058823,0.058329,0.051344,0.056165
1785667947413,98429.000000,97581.000000,85947.000000,0.058668,0.058163,0.051228,0.056020
1785667947917,98525.000000,97819.000000,86079.000000,0.058725,0.058305,0.051307,0.056112
1785667948421,98595.000000,97939.000000,86125.000000,0.058767,0.058376,0.051335,0.056159
1785667948925,98634.000000,97887.000000,86050.000000,0.058790,0.058345,0.051290,0.056142
1785667949434,98449.000000,97656.000000,85954.000000,0.058680,0.058208,0.051233,0.056040
1785667949938,98536.000000,97838.000000,86117.000000,0.058732,0.058316,0.051330,0.056126
1785667950442,98618.000000,97906.000000,86126.000000,0.058781,0.058357,0.051335,0.056158
1785667950946,98557.000000,97796.000000,86025.000000,0.058745,0.058291,0.051275,0.056103
1785667951455,98444.000000,97699.000000,85971.000000,0.058677,0.058233,0.051243,0.056051
1785667951959,98583.000000,97896.000000,86112.000000,0.058760,0.058351,0.051327,0.056146
1785667952463,98584.000000,97898.000000,86090.000000,0.058761,0.058352,0.051314,0.056142
1785667952967,98614.000000,97693.000000,85960.000000,0.058779,0.058230,0.051236,0.056081
1785667953476,98401.000000,97708.000000,85966.000000,0.058652,0.058239,0.051240,0.056043
1785667953980,98533.000000,97855.000000,86114.000000,0.058730,0.058326,0.051328,0.056128
1785667954484,98560.000000,97825.000000,86049.000000,0.058746,0.058308,0.051289,0.056115
1785667954988,98461.000000,97688.000000,85871.000000,0.058687,0.058227,0.051183,0.056032
1785667955497,98458.000000,97755.000000,86043.000000,0.058686,0.058267,0.051286,0.056079
1785667956001,98533.000000,97865.000000,86079.000000,0.058730,0.058332,0.051307,0.056123
1785667956505,98516.000000,97776.000000,85987.000000,0.058720,0.058279,0.051252,0.056084
1785667957009,98482.000000,97592.000000,85833.000000,0.058700,0.058169,0.051160,0.056010
1785667957518,98430.000000,97776.000000,86036.000000,0.058669,0.058279,0.051281,0.056076
1785667958022,98520.000000,97830.000000,86087.000000,0.058722,0.058311,0.051312,0.056115
1785667958526,98457.000000,97730.000000,85976.000000,0.058685,0.058252,0.051246,0.056061
1785667959030,98302.000000,97529.000000,85784.000000,0.058593,0.058132,0.051131,0.055952
1785667959539,98340.000000,97787.000000,86036.000000,0.058615,0.058286,0.051281,0.056061
1785667960043,98457.000000,97808.000000,86028.000000,0.058685,0.058298,0.051277,0.056087
1785667960547,98390.000000,97640.000000,85882.000000,0.058645,0.058198,0.051190,0.056011
1785667961051,98317.000000,97466.000000,85791.000000,0.058602,0.058094,0.051135,0.055944
1785667961560,98506.000000,97746.000000,86088.000000,0.058714,0.058261,0.051312,0.056096
1785667962064,98430.000000,97742.000000,86039.000000,0.058669,0.058259,0.051283,0.056070
1785667962568,98304.000000,97544.000000,85832.000000,0.058594,0.058141,0.051160,0.055965
1785667963072,98197.000000,97432.000000,85818.000000,0.058530,0.058074,0.051152,0.055918
1785667963581,98321.000000,97735.000000,86072.000000,0.058604,0.058255,0.051303,0.056054
1785667964085,98347.000000,97700.000000,85970.000000,0.058619,0.058234,0.051242,0.056032
1785667964589,98247.000000,97436.000000,85807.000000,0.058560,0.058076,0.051145,0.055927
1785667965093,98071.000000,97412.000000,85819.000000,0.058455,0.058062,0.051152,0.055890
1785667965602,98322.000000,97711.000000,86023.000000,0.058604,0.058240,0.051274,0.056039
1785667966106,98321.000000,97619.000000,85941.000000,0.058604,0.058185,0.051225,0.056005
1785667966610,98167.000000,97417.000000,85757.000000,0.058512,0.058065,0.051115,0.055897
1785667967114,98111.000000,97424.000000,85851.000000,0.058479,0.058069,0.051171,0.055906
1785667967623,98321.000000,97672.000000,86024.000000,0.058604,0.058217,0.051274,0.056032
1785667968127,98266.000000,97448.000000,85872.000000,0.058571,0.058084,0.051184,0.055946
1785667968631,98129.000000,97329.000000,85746.000000,0.058489,0.058013,0.051109,0.055870
1785667969135,98059.000000,97433.000000,85836.000000,0.058448,0.058075,0.051162,0.055895
1785667969644,98294.000000,97652.000000,85998.000000,0.058588,0.058205,0.051259,0.056017
1785667970148,98210.000000,97452.000000,85809.000000,0.058538,0.058086,0.051146,0.055923
1785667970652,98053.000000,97315.000000,85747.000000,0.058444,0.058004,0.051109,0.055853
1785667971156,98065.000000,97486.000000,85863.000000,0.058451,0.058106,0.051178,0.055912
1785667971665,98239.000000,97597.000000,85948.000000,0.058555,0.058172,0.051229,0.055985
1785667972169,98129.000000,97374.000000,85792.000000,0.058489,0.058039,0.051136,0.055888
1785667972673,98027.000000,97282.000000,85730.000000,0.058429,0.057985,0.051099,0.055837
1785667973177,98108.000000,97461.000000,85859.000000,0.058477,0.058091,0.051176,0.055915
1785667973686,98228.000000,97531.000000,85935.000000,0.058548,0.058133,0.051221,0.055968
1785667974190,98121.000000,97352.000000,85748.000000,0.058485,0.058026,0.051110,0.055874
1785667974694,97969.000000,97332.000000,85739.000000,0.058394,0.058014,0.051104,0.055838
1785667975198,98032.000000,97464.000000,85897.000000,0.058432,0.058093,0.051199,0.055908
1785667975707,98207.000000,97494.000000,85868.000000,0.058536,0.058111,0.051181,0.055943
1785667976211,98107.000000,97291.000000,85705.000000,0.058476,0.057990,0.051084,0.055850
1785667976715,97997.000000,97230.000000,85774.000000,0.058411,0.057954,0.051125,0.055830
1785667977219,98050.000000,97440.000000,85906.000000,0.058442,0.058079,0.051204,0.055908
1785667977728,98206.000000,97441.000000,85868.000000,0.058535,0.058079,0.051181,0.055932
1785667978232,98162.000000,97318.000000,85706.000000,0.058509,0.058006,0.051085,0.055867
1785667978736,97990.000000,97318.000000,85747.000000,0.058407,0.058006,0.051109,0.055841
1785667979240,98061.000000,97465.000000,85917.000000,0.058449,0.058094,0.051211,0.055918
1785667979749,98179.000000,97446.000000,85845.000000,0.058519,0.058082,0.051168,0.055923
1785667980253,98093.000000,97229.000000,85672.000000,0.058468,0.057953,0.051064,0.055828
