timestamp,voltage,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1785667824134,102051.000000,100082.000000,87635.000000,0.060827,0.059654,0.052235,0.057572
1785667824637,102299.000000,100145.000000,87664.000000,0.060975,0.059691,0.052252,0.057639
1785667825141,102132.000000,100296.000000,87850.000000,0.060875,0.059781,0.052363,0.057673
1785667825644,102124.000000,100235.000000,87810.000000,0.060871,0.059745,0.052339,0.057651
1785667826153,101906.000000,99951.000000,87550.000000,0.060741,0.059575,0.052184,0.057500
1785667826658,101840.000000,100100.000000,87725.000000,0.060701,0.059664,0.052288,0.057551
1785667827162,101970.000000,100293.000000,87843.000000,0.060779,0.059779,0.052359,0.057639
1785667827666,102039.000000,100250.000000,87736.000000,0.060820,0.059754,0.052295,0.057623
1785667828174,101826.000000,99948.000000,87541.000000,0.060693,0.059574,0.052179,0.057482
1785667828679,101523.000000,100208.000000,87727.000000,0.060512,0.059729,0.052289,0.057510
1785667829183,101786.000000,99990.000000,87798.000000,0.060669,0.059599,0.052332,0.057533
1785667829687,101709.000000,99785.000000,87645.000000,0.060623,0.059476,0.052240,0.057447
1785667830196,102131.000000,99928.000000,87663.000000,0.060875,0.059562,0.052251,0.057563
1785667830700,102177.000000,100198.000000,87727.000000,0.060902,0.059723,0.052289,0.057638
1785667831203,101887.000000,99931.000000,87600.000000,0.060729,0.059564,0.052214,0.057502
1785667831708,101919.000000,100123.000000,87789.000000,0.060748,0.059678,0.052326,0.057584
1785667832216,101619.000000,100198.000000,87757.000000,0.060570,0.059723,0.052307,0.057533
1785667832721,101831.000000,100270.000000,87780.000000,0.060696,0.059766,0.052321,0.057594
1785667833224,101820.000000,100072.000000,87570.000000,0.060689,0.059648,0.052196,0.057511
1785667833729,101487.000000,99892.000000,87453.000000,0.060491,0.059540,0.052126,0.057386
1785667834237,101584.000000,100208.000000,87704.000000,0.060549,0.059729,0.052276,0.057518
1785667834742,101593.000000,100123.000000,87578.000000,0.060554,0.059678,0.052201,0.057478
1785667835246,101436.000000,99948.000000,87382.000000,0.060461,0.059574,0.052084,0.057373
1785667835749,101355.000000,99887.000000,87490.000000,0.060412,0.059537,0.052148,0.057366
1785667836259,101558.000000,100119.000000,87621.000000,0.060533,0.059676,0.052226,0.057478
1785667836763,101431.000000,99957.000000,87415.000000,0.060458,0.059579,0.052103,0.057380
1785667837267,101281.000000,99845.000000,87364.000000,0.060368,0.059512,0.052073,0.057318
1785667837771,101319.000000,100047.000000,87544.000000,0.060391,0.059633,0.052180,0.057401
1785667838280,101430.000000,100008.000000,87514.000000,0.060457,0.059609,0.052162,0.057410
1785667838783,101263.000000,99694.000000,87341.000000,0.060357,0.059422,0.052059,0.057280
1785667839288,101229.000000,99832.000000,87454.000000,0.060337,0.059505,0.052127,0.057323
