timestamp,voltage,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1785666818188,164004.000000,123619.000000,124494.000000,0.097754,0.073683,0.074204,0.081880
1785666818692,163457.000000,123712.000000,124639.000000,0.097428,0.073738,0.074291,0.081819
1785666819196,163728.000000,123938.000000,124913.000000,0.097590,0.073873,0.074454,0.081972
1785666819705,163346.000000,123600.000000,124440.000000,0.097362,0.073671,0.074172,0.081735
1785666820209,163253.000000,123624.000000,124618.000000,0.097306,0.073686,0.074278,0.081757
1785666820713,163383.000000,123874.000000,124848.000000,0.097384,0.073835,0.074415,0.081878
1785666821217,163573.000000,123842.000000,124743.000000,0.097497,0.073816,0.074353,0.081888
1785666821726,165718.000000,124315.000000,125030.000000,0.098776,0.074098,0.074524,0.082466
1785666822230,164432.000000,123971.000000,124803.000000,0.098009,0.073892,0.074388,0.082097
1785666822734,164000.000000,124094.000000,124774.000000,0.097752,0.073966,0.074371,0.082030
1785666823238,164397.000000,124211.000000,124322.000000,0.097988,0.074036,0.074102,0.082042
1785666823747,163916.000000,123524.000000,125025.000000,0.097702,0.073626,0.074521,0.081949
1785666824251,164459.000000,123998.000000,124812.000000,0.098025,0.073909,0.074394,0.082109
1785666824755,164367.000000,123569.000000,124414.000000,0.097970,0.073653,0.074157,0.081927
1785666825259,163382.000000,123390.000000,124415.000000,0.097383,0.073546,0.074157,0.081696
1785666825768,163866.000000,123814.000000,124613.000000,0.097672,0.073799,0.074275,0.081915
1785666826272,166396.000000,123533.000000,124688.000000,0.099180,0.073631,0.074320,0.082377
1785666826776,163444.000000,123326.000000,124319.000000,0.097420,0.073508,0.074100,0.081676
1785666827280,163154.000000,123634.000000,124467.000000,0.097247,0.073692,0.074188,0.081709
1785666827789,163765.000000,123427.000000,124348.000000,0.097612,0.073568,0.074117,0.081766
1785666828293,164066.000000,123271.000000,124631.000000,0.097791,0.073475,0.074286,0.081851
1785666828797,163280.000000,123552.000000,124408.000000,0.097322,0.073643,0.074153,0.081706
1785666829301,163722.000000,123585.000000,124477.000000,0.097586,0.073662,0.074194,0.081814
1785666829810,163179.000000,123210.000000,123998.000000,0.097262,0.073439,0.073909,0.081537
1785666830314,163396.000000,123428.000000,124325.000000,0.097392,0.073569,0.074103,0.081688
1785666830818,163597.000000,123546.000000,124380.000000,0.097511,0.073639,0.074136,0.081762
1785666831322,163123.000000,123405.000000,124202.000000,0.097229,0.073555,0.074030,0.081605
1785666831831,163262.000000,123311.000000,124229.000000,0.097312,0.073499,0.074046,0.081619
1785666832335,163280.000000,123564.000000,124353.000000,0.097322,0.073650,0.074120,0.081698
1785666832839,163452.000000,123368.000000,124197.000000,0.097425,0.073533,0.074027,0.081662
1785666833343,163090.000000,123086.000000,123955.000000,0.097209,0.073365,0.073883,0.081486
1785666833852,163443.000000,123507.000000,124354.000000,0.097420,0.073616,0.074121,0.081719
1785666834356,162592.000000,123404.000000,124226.000000,0.096912,0.073555,0.074044,0.081504
1785666834860,162889.000000,123069.000000,123917.000000,0.097089,0.073355,0.073860,0.081435
1785666835364,163010.000000,123224.000000,124164.000000,0.097162,0.073447,0.074008,0.081539
1785666835873,163127.000000,123321.000000,124159.000000,0.097231,0.073505,0.074005,0.081580
1785666836377,162895.000000,123000.000000,123906.000000,0.097093,0.073314,0.073854,0.081420
1785666836881,162834.000000,123157.000000,124090.000000,0.097057,0.073407,0.073963,0.081476
1785666837384,163054.000000,123385.000000,124325.000000,0.097188,0.073543,0.074103,0.081611
1785666837894,162354.000000,123043.000000,123860.000000,0.096771,0.073339,0.073826,0.081312
1785666838398,162575.000000,123100.000000,124070.000000,0.096902,0.073373,0.073951,0.081409
1785666838902,162902.000000,123336.000000,124314.000000,0.097097,0.073514,0.074097,0.081569
1785666839406,162967.000000,123327.000000,124205.000000,0.097136,0.073509,0.074032,0.081559
1785666839915,162558.000000,123076.000000,124010.000000,0.096892,0.073359,0.073916,0.081389
1785666840419,162867.000000,123341.000000,124276.000000,0.097076,0.073517,0.074074,0.081556
1785666840923,162928.000000,123297.000000,124205.000000,0.097113,0.073491,0.074032,0.081545
1785666841427,162724.000000,122987.000000,123884.000000,0.096991,0.073306,0.073841,0.081379
1785666841936,162648.000000,123326.000000,124205.000000,0.096946,0.073508,0.074032,0.081495
1785666842440,162842.000000,123318.000000,124179.000000,0.097061,0.073503,0.074016,0.081527
1785666842944,162545.000000,123031.000000,123911.000000,0.096884,0.073332,0.073857,0.081358
1785666843448,162672.000000,122953.000000,123913.000000,0.096960,0.073286,0.073858,0.081368
1785666843957,162497.000000,123327.000000,124210.000000,0.096856,0.073509,0.074035,0.081466
1785666844461,162348.000000,123075.000000,123886.000000,0.096767,0.073358,0.073842,0.081322
1785666844965,162030.000000,122945.000000,123909.000000,0.096577,0.073281,0.073856,0.081238
1785666845468,162131.000000,123244.000000,124150.000000,0.096638,0.073459,0.073999,0.081365
1785666845978,162230.000000,123064.000000,123896.000000,0.096697,0.073352,0.073848,0.081299
1785666846481,162252.000000,124020.000000,124809.000000,0.096710,0.073922,0.074392,0.081674
1785666846986,156405.000000,126706.000000,125099.000000,0.093225,0.075523,0.074565,0.081104
1785666847489,161960.000000,123821.000000,125316.000000,0.096536,0.073803,0.074694,0.081678
1785666847998,162163.000000,123195.000000,124234.000000,0.096657,0.073430,0.074049,0.081379
1785666848503,162231.000000,123402.000000,124492.000000,0.096697,0.073553,0.074203,0.081485
1785666849006,162893.000000,123497.000000,124489.000000,0.097092,0.073610,0.074201,0.081634
1785666849511,162358.000000,123333.000000,124220.000000,0.096773,0.073512,0.074041,0.081442
1785666850019,152822.000000,125523.000000,127960.000000,0.091089,0.074818,0.076270,0.080726
1785666850524,161544.000000,124358.000000,124931.000000,0.096288,0.074123,0.074465,0.081625
1785666851027,170280.000000,123210.000000,124697.000000,0.101495,0.073439,0.074325,0.083086
1785666851531,163643.000000,123489.000000,124065.000000,0.097539,0.073605,0.073949,0.081698
1785666852040,152858.000000,140705.000000,123369.000000,0.091110,0.083867,0.073534,0.082837
1785666852544,155961.000000,125181.000000,124976.000000,0.092960,0.074614,0.074492,0.080688
1785666853048,173224.000000,124012.000000,124027.000000,0.103250,0.073917,0.073926,0.083697
1785666853552,159188.000000,124395.000000,124254.000000,0.094883,0.074145,0.074061,0.081030
1785666854061,163592.000000,123843.000000,124144.000000,0.097508,0.073816,0.073996,0.081773
1785666854565,147975.000000,115903.000000,117483.000000,0.088200,0.069084,0.070025,0.075770
1785666855070,170069.000000,123959.000000,125738.000000,0.101369,0.073885,0.074946,0.083400
1785666855573,170131.000000,123081.000000,126656.000000,0.101406,0.073362,0.075493,0.083420
1785666856082,170524.000000,123333.000000,125348.000000,0.101640,0.073512,0.074713,0.083289
1785666856586,163784.000000,123238.000000,126676.000000,0.097623,0.073456,0.075505,0.082194
1785666857090,165489.000000,123501.000000,125756.000000,0.098639,0.073612,0.074956,0.082403
1785666857594,163069.000000,123587.000000,125620.000000,0.097197,0.073664,0.074875,0.081912
1785666858103,163251.000000,123167.000000,124870.000000,0.097305,0.073413,0.074428,0.081716
1785666858607,161346.000000,123624.000000,124758.000000,0.096170,0.073686,0.074362,0.081406
1785666859111,161402.000000,123724.000000,124484.000000,0.096203,0.073745,0.074198,0.081382
1785666859615,160940.000000,123509.000000,124159.000000,0.095928,0.073617,0.074005,0.081183
1785666860124,161109.000000,123468.000000,124271.000000,0.096028,0.073593,0.074071,0.081231
1785666860628,161056.000000,123674.000000,124097.000000,0.095997,0.073715,0.073968,0.081227
1785666861132,161559.000000,123560.000000,123624.000000,0.096297,0.073648,0.073686,0.081210
1785666861636,162989.000000,123162.000000,123993.000000,0.097149,0.073410,0.073906,0.081488
1785666862145,162038.000000,123569.000000,124131.000000,0.096582,0.073653,0.073988,0.081408
1785666862649,162203.000000,123373.000000,123809.000000,0.096681,0.073536,0.073796,0.081338
1785666863153,161768.000000,123068.000000,123574.000000,0.096421,0.073354,0.073656,0.081144
1785666863657,161226.000000,123258.000000,123724.000000,0.096098,0.073468,0.073745,0.081104
1785666864166,161729.000000,123401.000000,123843.000000,0.096398,0.073553,0.073816,0.081256
1785666864670,161311.000000,123175.000000,123502.000000,0.096149,0.073418,0.073613,0.081060
1785666865174,160821.000000,123224.000000,123615.000000,0.095857,0.073447,0.073680,0.080995
1785666865678,160924.000000,123468.000000,123862.000000,0.095918,0.073593,0.073828,0.081113
1785666866187,161236.000000,123159.000000,123537.000000,0.096104,0.073408,0.073634,0.081049
1785666866691,160845.000000,123093.000000,123584.000000,0.095871,0.073369,0.073662,0.080967
1785666867195,161024.000000,123386.000000,123821.000000,0.095978,0.073544,0.073803,0.081108
1785666867699,161033.000000,123446.000000,123782.000000,0.095983,0.073580,0.073780,0.081114
1785666868208,160460.000000,122986.000000,123433.000000,0.095642,0.073305,0.073572,0.080840
1785666868712,160483.000000,123232.000000,123672.000000,0.095655,0.073452,0.073714,0.080941
1785666869216,161834.000000,123305.000000,123870.000000,0.096461,0.073496,0.073832,0.081263
1785666869720,161094.000000,123285.000000,123669.000000,0.096020,0.073484,0.073712,0.081072
1785666870229,160840.000000,123188.000000,123475.000000,0.095868,0.073426,0.073597,0.080964
1785666870733,161166.000000,123367.000000,123628.000000,0.096062,0.073532,0.073688,0.081094
1785666871237,161024.000000,123348.000000,123568.000000,0.095978,0.073521,0.073652,0.081050
1785666871741,160729.000000,123071.000000,123313.000000,0.095802,0.073356,0.073500,0.080886
1785666872250,160548.000000,123292.000000,123604.000000,0.095694,0.073488,0.073674,0.080952
1785666872754,160587.000000,123299.000000,123603.000000,0.095717,0.073492,0.073673,0.080961
1785666873258,160483.000000,123026.000000,123350.000000,0.095655,0.073329,0.073522,0.080836
1785666873762,160492.000000,122874.000000,123265.000000,0.095661,0.073239,0.073472,0.080790
1785666874271,160499.000000,123245.000000,123622.000000,0.095665,0.073460,0.073684,0.080936
1785666874775,160424.000000,123060.000000,123399.000000,0.095620,0.073349,0.073552,0.080840
1785666875279,160434.000000,122808.000000,123126.000000,0.095626,0.073199,0.073389,0.080738
1785666875783,160522.000000,122964.000000,123367.000000,0.095679,0.073292,0.073532,0.080834
1785666876292,160677.000000,123112.000000,123457.000000,0.095771,0.073380,0.073586,0.080913
1785666876796,160647.000000,122868.000000,123192.000000,0.095753,0.073235,0.073428,0.080805
1785666877300,160311.000000,122861.000000,123263.000000,0.095553,0.073231,0.073470,0.080751
1785666877804,160386.000000,123204.000000,123481.000000,0.095598,0.073435,0.073600,0.080878
