timestamp,voltage,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
1785664676944,4202643.000000,507796.000000,4202618.000000,2.504971,0.302670,2.504956,1.770865
1785664677453,4202722.000000,513327.000000,4202658.000000,2.505018,0.305967,2.504980,1.771988
1785664677957,4202673.000000,516256.000000,4202572.000000,2.504988,0.307713,2.504928,1.772543
1785664678461,4202667.000000,508149.000000,4202681.000000,2.504985,0.302880,2.504993,1.770953
1785664678965,4202613.000000,508311.000000,4202664.000000,2.504953,0.302977,2.504983,1.770971
1785664679474,4202592.000000,509037.000000,4202660.000000,2.504940,0.303410,2.504981,1.771110
1785664679978,4202549.000000,509761.000000,4202552.000000,2.504915,0.303841,2.504916,1.771224
1785664680482,4202670.000000,507359.000000,4202635.000000,2.504987,0.302410,2.504966,1.770787
1785664680986,4202553.000000,507479.000000,4202487.000000,2.504917,0.302481,2.504878,1.770759
1785664681495,4202567.000000,506053.000000,4202613.000000,2.504925,0.301631,2.504953,1.770503
1785664681999,4202609.000000,506738.000000,4202700.000000,2.504950,0.302039,2.505005,1.770665
1785664682503,4202621.000000,505473.000000,4202534.000000,2.504957,0.301285,2.504906,1.770383
1785664683007,4202624.000000,504290.000000,4202648.000000,2.504959,0.300580,2.504974,1.770171
1785664683516,4202615.000000,505711.000000,4202610.000000,2.504954,0.301427,2.504951,1.770444
1785664684020,4202578.000000,504343.000000,4202628.000000,2.504932,0.300612,2.504962,1.770169
1785664684524,4202587.000000,504774.000000,4202578.000000,2.504937,0.300869,2.504932,1.770246
1785664685028,4202668.000000,506625.000000,4202604.000000,2.504986,0.301972,2.504947,1.770635
1785664685537,4202650.000000,503977.000000,4202603.000000,2.504975,0.300394,2.504947,1.770105
1785664686041,4202596.000000,504523.000000,4202647.000000,2.504943,0.300719,2.504973,1.770212
1785664686545,4202655.000000,506011.000000,4202668.000000,2.504978,0.301606,2.504986,1.770523
1785664687049,4202561.000000,505367.000000,4202511.000000,2.504922,0.301222,2.504892,1.770345
1785664687558,4202616.000000,505453.000000,4202578.000000,2.504955,0.301273,2.504932,1.770387
1785664688062,4202645.000000,504969.000000,4202600.000000,2.504972,0.300985,2.504945,1.770301
1785664688566,4202616.000000,503597.000000,4202663.000000,2.504955,0.300167,2.504982,1.770035
1785664689069,4202489.000000,503322.000000,4202526.000000,2.504879,0.300003,2.504901,1.769928
1785664689578,4202624.000000,504015.000000,4202607.000000,2.504959,0.300416,2.504949,1.770108
1785664690082,4202581.000000,502856.000000,4202564.000000,2.504934,0.299726,2.504924,1.769861
1785664690586,4202569.000000,503004.000000,4202593.000000,2.504926,0.299814,2.504941,1.769894
1785664691090,4202530.000000,504191.000000,4202583.000000,2.504903,0.300521,2.504935,1.770120
1785664691599,4202593.000000,502445.000000,4202543.000000,2.504941,0.299481,2.504911,1.769777
1785664692103,4202693.000000,503328.000000,4202717.000000,2.505000,0.300007,2.505015,1.770007
1785664692607,4202651.000000,503576.000000,4202633.000000,2.504975,0.300155,2.504965,1.770032
1785664693111,4202482.000000,502187.000000,4202506.000000,2.504875,0.299327,2.504889,1.769697
1785664693620,4202587.000000,503719.000000,4202598.000000,2.504937,0.300240,2.504944,1.770040
1785664694124,4202595.000000,503290.000000,4202617.000000,2.504942,0.299984,2.504955,1.769960
1785664694628,4202535.000000,501777.000000,4202697.000000,2.504906,0.299082,2.505003,1.769664
1785664695132,4202616.000000,502272.000000,4202590.000000,2.504955,0.299377,2.504939,1.769757
1785664695641,4202528.000000,501520.000000,4202442.000000,2.504902,0.298929,2.504851,1.769561
1785664696145,4202562.000000,500315.000000,4202618.000000,2.504922,0.298211,2.504956,1.769363
1785664696649,4202701.000000,503496.000000,4202716.000000,2.505005,0.300107,2.505014,1.770042
1785664697153,4202521.000000,503814.000000,4202582.000000,2.504898,0.300297,2.504934,1.770043
1785664697662,4202562.000000,502258.000000,4202712.000000,2.504922,0.299369,2.505012,1.769768
1785664698166,4202586.000000,503383.000000,4202600.000000,2.504937,0.300040,2.504945,1.769974
1785664698670,4202690.000000,503398.000000,4202643.000000,2.504999,0.300049,2.504971,1.770006
1785664699174,4202488.000000,501643.000000,4202660.000000,2.504878,0.299003,2.504981,1.769621
1785664699683,4202714.000000,502942.000000,4202579.000000,2.505013,0.299777,2.504932,1.769907
1785664700187,4202656.000000,501380.000000,4202568.000000,2.504978,0.298846,2.504926,1.769583
1785664700691,4202621.000000,501511.000000,4202547.000000,2.504957,0.298924,2.504913,1.769598
1785664701195,4202570.000000,502674.000000,4202550.000000,2.504927,0.299617,2.504915,1.769820
1785664701704,4202445.000000,501131.000000,4202503.000000,2.504853,0.298697,2.504887,1.769479
1785664702208,4202628.000000,501630.000000,4202634.000000,2.504962,0.298995,2.504965,1.769641
1785664702712,4202639.000000,502445.000000,4202570.000000,2.504968,0.299481,2.504927,1.769792
1785664703216,4202497.000000,500510.000000,4202530.000000,2.504884,0.298327,2.504903,1.769371
